Package Name,Average Size (KB)
python-stream-iter,16.6162109375
pyome,1.23486328125
fastapi-logging,4.014594184027778
httprama,5361.735595703125
assistant-lib,9.902193509615385
docy,1.775390625
python-autocast,3.2107421875
pypkgs-gs,2.244140625
fit-cli,13.445638020833334
llmo,12.085662841796875
alibabacloud-cams20200606-py2,27.113636363636363
CantrelleJouisseMamannVF,5.6328125
pipeflow,4.873046875
astmareq1,7.7822265625
usa_today,3.658203125
odoo8-addon-website-sale-category-megamenu,25.157389322916668
ndn-python-svs,20.236653645833332
synergy-odm,6.255161830357143
ipgrab,1.58203125
wilds,79.82677283653847
antchain-ak-b0bf8e7efff240d69678028eeb721a2f,7.99609375
odoo12-addon-stock-barcodes-supplierinfo,21.37060546875
asyncom,8.394147600446429
SharingAttention,6.2216796875
covirus,1036.93017578125
skit-fixdf,21.237830528846153
niugdelt,7.48779296875
threadingwebdriver,5.7916259765625
anime-downloader,103.1930731411638
ganx,31.75341796875
zaigonhack,2.00830078125
reflectutils,3.3984375
toparu-arushigupta,2.757568359375
programmify,182.402099609375
odoo9-addon-crm-claim-rma-code,12.308203125
everlib,7.16015625
odoo14-addon-shipment-advice-bill-auto-complete,28.530517578125
gureypdf,1.3125
llama-index-callbacks-agentops,4.193359375
odoo8-addon-web-widget-text-markdown,144.966796875
collective.portlet.collectionfilter,17.84027777777778
vyd-coala-bears,251.7353515625
fastapi-fast-template,26.914271763392858
datalad-catalog,3534.273681640625
fastremap,1843.6155966481854
aa-policy-validator,4.740373883928571
caliatestpy,2.03955078125
wnhelloworldpackage,2.37060546875
viper-python,3.22734375
antchain-ak-7257696016e54ac8a1e0ed2d532c3c09,9.36669921875
bridge-ds,36.073046875
taskara,32.363566653829224
flyplotlib,11.949055989583334
jax-control-algorithms,18.124072265625
flora-blockchain,774.14453125
opt4py,3.75341796875
dequote-annotations,4.431803385416667
django-classified,255.9375232514881
toiro,606.1241455078125
input-detect,2.00537109375
listenmoe,3.92333984375
sweetcase,5.8986328125
CVAT-Video-Annotation-Processor,4.400390625
nasbench-keras,10.98681640625
odoo14-addon-stock-picking-quick,266.23359375
db-sync-tool-kmi,32.7566977446934
ffpass-next,8.881103515625
DeepMusicshot,32.71630859375
dendrify,30.13525390625
codecombat,21.838704427083332
onegov.shared,5.6177978515625
odoo14-addons-oca-project,1.5091231496710527
wavesurfer,40.1875
cerebro-toolkit,31.670654296875
project-one,0.98193359375
toolkit-owan2,3.2900390625
ats-ckonlpy,1013.82958984375
codexregius,1.8412873641304348
nikusha5pdf,13.51611328125
django-menuz,79.01025390625
yooncloud-dart,25.3890380859375
odoo14-addon-stock-warehouse-analytic,20.775065104166668
wakalinus,30.6296875
MikhailP-django-blog,9.0263671875
intake-dataframe-catalog,25.879947916666666
CGBp-dist,3.142578125
tundra-xaxlib-python,10.2802734375
Isconna,7.93115234375
cntn,7.0068359375
uptick-observability,35.4302978515625
pyadham,1.11572265625
internal-fileupload-django,6.1904296875
sgp,222.24310980902777
webull-options,24.0222578125
generateMFT,4.634765625
configsimple,18.5865478515625
pythoneasy,1.9337890625
yara-helper,3.9119873046875
bgfactory,21.6767578125
auto-blueprints,4.223876953125
easyEmbed,7.561279296875
fixations,2565.5475565592446
msg_cln,9.38671875
napalm-ibm,2.8544921875
jbof,11.0873046875
cookiestream,9.201939174107142
oxbumpy,13.26123046875
cfcli,3.2307942708333335
cohort-generator,4.008021763392857
statistics-bioresearch,3.6025390625
flask-jwt-router,74.57085681352459
ldbg-jsonrpc,2.84228515625
silicon-clustering,14.679361979166666
onetrigger,5.908203125
yandex_adult_grimhold_schedule,1.09765625
surflink,10.990478515625
thesis-experiment-test,1.4254150390625
crypticbackslash,1.1162109375
ovos-utterance-corrections-plugin,6.916829427083333
django-update-notifications,5.28466796875
abcEconomics,493.188671875
mok,4.4443359375
bamboo-stash,4.8494873046875
bayesianpia2,1.9691162109375
odoo-addon-sale-loyalty-order-suggestion,29.848828125
brubeck-mysql,8.07373046875
pythere,2.9697265625
rosebackup,2.38818359375
tinylogging,4.50927734375
xumes,45.424734933035715
hakxcore,534.4209872159091
rendersrt,9.600237165178571
python-chibisafe,2.600830078125
svg-helpers,3.5265299479166665
call-function-with-timeout,3.53173828125
constellate-client,5.285546875
latlon3,17.439453125
django-atris,14.686360677083334
custom-guardrails,13394.607421875
data-barrel,1.2705078125
nuid,102.65234375
DisBot,7.496256510416667
tinyrl,204.80503216911765
gitlab-changelog-generator,6.8929443359375
Python-Extension,20.962367466517858
python-libpcap,69.4990234375
cys2n,37.94287109375
ai2-wmd,0.90673828125
protokoll300,3.447265625
url-matchers,1.38525390625
ucloud-client,21.70703125
odoo12-addon-database-cleanup,225.25828125
guolei-py3-requests,3.608615451388889
oauth2-utf8,18.0888671875
pentest-helper,10.912353515625
c2.app.streamingaws,76.3984375
facepy-pozytywnie,12.816080729166666
templeton,68.82063802083333
pkg-upload,2.384765625
pynetworklib,8.11376953125
par-scrape,18.318096454326923
decision-engine,8.23388671875
chestella,4.1419921875
remoto,34.449055989583336
announcementlink,9.504557291666666
cent,5.106971153846154
plot-utils,12965.762044270834
syncmm,3.4188639322916665
ushmm,8.0067138671875
fjord_kafka_migration,5.767666903409091
pygrabshot,19.3662109375
vos-benchmark,9.15380859375
aws-cdk.aws-datasync,132.6559443851169
streamlit-condition-tree,4853.3546875
u-ipmask,1.4990234375
aws-orbit-emr-on-eks,5.379041883680555
drf-jsonmask,9.5314453125
netbox_netprod_importer,19.307883522727273
pybind11_mkdoc,9.69482421875
dav-xmpp-sync,18.1728515625
mpkernel,14.408203125
ntt-json-model-parser,6.800851004464286
waf-build,118.255859375
sipay,26.573974609375
django-cookieless,18.961838942307693
ai-commit-tool,5.755859375
parseid,6.26689453125
joblist,465.064453125
mkdocs-macros-test,1.69775390625
customer-service,1.0810546875
r2c-py-ast,2.88232421875
hio,59.75927734375
siege-engine,4.575927734375
odoo12-addon-partner-identification,168.04583740234375
pyEddyTrackerSample,44389.187174479164
EukRep,889.5122612847222
django-easycart,9.18505859375
d2py,138.07621042351974
insilicodna,7.090657552083333
snk,37.611796875
awtest,5.625701904296875
pymicro-vad,157.7582370923913
tmblr,6.32421875
video-bot-add-time,14.4356689453125
synchronicity,24.58505859375
pz-rail-cmnn,13.662039620535714
septup,1.03515625
pulsus,9.670247395833334
odoo13-addon-l10n-es-aeat-mod349,761.1889105902778
HALdata,8.38397216796875
indent2dict,11.65869140625
basic-distributions-udacity-exercise,3.5048828125
easyyaml,3.197509765625
datacatalog-custom-entries-manager,9.8779296875
cythoncartesian,23.1220703125
enapi,2.22998046875
nanome,3449.8100618489584
swaggergenerator,7.8154296875
pynvvm,5.474934895833333
filks,9.2763671875
css.css3githubbuttons,957.9251302083334
codebuddie,9.54638671875
static-deployer,12.612060546875
ipyfs,27.489013671875
stability-ai-api,10.0341796875
khepri,0.77587890625
django-registration-bootstrap,4.24853515625
marvel,6.3447265625
validators-b2bit,3.22021484375
full-todotxt,6.250051398026316
odoo11-addon-sale-order-invoicing-grouping-criteria,32.6884765625
track-ml,13.478759765625
vaunix-api,5.547119140625
dingdinghelper,29.24970703125
campubtest,2.18603515625
captain-hooks,14.771321614583334
BaseAPI,6.25
django-template-previewer,170.61376953125
rk-cyb600-lab1,5.599609375
atarigon,19.58984375
transiter-nycsubway,18.588030133928573
pgindexrebuild,7.1908203125
neuraxle-tensorflow,10.673095703125
eldar,22.657470703125
unittest-xml-reporting-iron,13.9970703125
bitresource,12.38720703125
cognito-clean,6.27490234375
extLog,1.463623046875
cemre-biltekin-very-simple-dictionary,1.70654296875
multiconductorz,2.755859375
oh-my-stars,14.002574573863637
transformers-collection,5.857421875
netcloudapi,210.29361979166666
sqlconnectphp,3.599609375
roid,34.286572265625
mkdocs-simple-tags-plugin,5.451697716346154
conjuno,25.6779296875
multireadline,4.269856770833333
django-mysql-fix,3.4641927083333335
zzz,13.07080078125
parade-crossfilter,24272.5869140625
fast-weather,3.54736328125
nameko-atomicity,5.84228515625
odoo12-addon-hr-timesheet-nonpayable,25.70703125
modelta,36.540022225215516
as-a-service,5.023681640625
makit-lib,30.120849609375
alphashape,10.712890625
wdata,15.532997532894736
poetry-demo-jerber,1.48291015625
awmproxy,4.27734375
pySEAScope,72.95954241071429
virga,10.166666666666666
linttest,3.6455078125
behave-no-capture,434.9404296875
moolb,2.1754557291666665
ttvfast,40.01861572265625
cclogs,4.98486328125
ztq_core,16.787109375
tinyapi,3.23681640625
odoo8-addon-l10n-ar-base-country-state,1979.2379557291667
sphinxcontrib-moderncmakedomain,11.341175426136363
bear_installation_tool,13.2259765625
mbf-genomes,554.7587890625
cosmicpy,41.1005859375
autoquiz,5.14794921875
bitlyshortener,15.920178865131579
async-redis-uow,6.071160567434211
dl-plus-extractor-un1def-rinsefm,4.239908854166667
exofop,72.88916015625
odoo14-addon-ssi-appointment-project,30.82958984375
eef-data,109.607421875
potatocouch,2.2451171875
mih-integral,2.255859375
murali,0.39453125
tap-campaign-monitor,6.966657366071429
repoze.who.deprecatedplugins,14.1904296875
tmw,1.4736328125
Flask-RESTive-MongoDB,6.50732421875
django-polymorphic-queryset,6.09375
autora-experimentalist-uncertainty,25.7021484375
clchoropleth,582.096923828125
felyaa3,0.935546875
bmcs-shear,75.76806640625
llama-index-g,667.34326171875
api-client-generator,15.3115234375
hsds,743.21923828125
argparse-utils,3.87939453125
distributions8,3.095703125
viur-scriptor-api,25.571126302083332
datasette-secrets,13.795654296875
kconfgen,9.345842633928571
superpower,0.810546875
tear-pages,9.580729166666666
autoreduce-db,14.912458147321429
manabi,31.78952365451389
pyrocksdb-cf,152.59375
repoze.what.plugins.mongodb,2.5283203125
hello_darkness_script,1.7822265625
planship-openapi-gen,56.95263671875
ogn-client,506.9786430027174
terrajinja-sbp-vcd,25.760152180989582
huskey,1.150390625
pyani,125.06382123161765
panda-robot,19.668131510416668
newcaclculator,1.3427734375
superClass,2.8483072916666665
pytrafficcontrol,6.38515625
enough-cards,9.217529296875
uji-ship,10.66748046875
holamundoplayer-ekoh,14.1474609375
classeslb,1.54638671875
ixapipes,6.981820913461538
wix-protos-iptf-greyhound-callscope,1.29931640625
coopr.sucasa,34.296657986111114
WpaTestPackage,2.5810546875
quickdev,13.53076171875
orbis-eval,77.79164341517857
phyforlife2,1.2177734375
diffoscope,2711.1650390625
bk-resource,52.1587109375
dls-marco-score-ispyb,31548.43994140625
materia-structure,9.54931640625
ms-image-tool,3.94580078125
restore_commit_times,3.21953125
arxiv-checker,6.6559836647727275
xpoint,7.380859375
dmpipe,50.4955078125
pynexusic,1650.462491747359
pyFragility,12.04931640625
ttbotapi,24.81884765625
idbutils,27.05048828125
skfolio,660.8227751358696
matrix-py3,4.370361328125
nanohelp,4.329833984375
Django-inline-column-extension,7.8466796875
pyfile-utils,13.1021484375
origheart,0.66015625
khalorg,2434.9197998046875
apimaticcalculatorpythonv1,15.36273193359375
rnsh,31.64291221217105
abl.jquery.plugins.form,20.38330078125
ADBconnect,5.08056640625
itk-spcn,1175.2901761239036
sahara-plugin-vanilla,478.66066672585225
pygraphscope,1.6220703125
neumai,43.4546142578125
uic,11.708984375
Materials-Data-Analytics,57.857666015625
coinop,10.92751736111111
botocore-a-la-carte-efs,29.885727572278913
airflow-providers-aliyun-rocketmq,5.10107421875
racetrack-client,40.58546985035211
panpdf,126.42007882254464
pytektronix,13.020128038194445
era5cli,83.49822126116071
archetypes.markerfield,5.47216796875
project-11Team-GoIt,12.490234375
aio9p,28.01904296875
pidproxyd,2.1728515625
odoo-addon-partner-lastname-uppercase,26.23193359375
sma-query-sw,7.3720703125
python-altcoinlib,84.5224609375
mlsteam-client,6194.2191162109375
pyswarming,274.23095703125
quetzal-client,34.90283203125
redis-sentinel,8.61279296875
alibabacloud-iacservice20210722-py2,12.3984375
torch2coreml,11.170619419642858
rediscache,9.52557373046875
qc2tsv,5.270345052083333
odoo10-addon-hr-timesheet-sheet-week-start-day,23.838541666666668
sixtytwo,1.32177734375
wizmap,396.54150390625
corkit,26.35486778846154
PLTable,16.0791015625
xlscrap,3.3349609375
aldian-probability,3.1474609375
es-wait,14.924222506009615
threading-futures,3.5296223958333335
dfk-commons,28.301089638157894
django-simple-notes,25.926513671875
pyRserve,92.07171135979729
statmorph,672.7232607886905
stemquests,6.36884765625
halfbrick-app-demo,14.255859375
akamai_purge_cache,2.224609375
gppc,23.097265625
allegedb,38.379557291666664
beppu,2.57666015625
pyusbdux,20.299544270833334
tree-sitter-fortran,248.645
audio-transcriber,7.175830078125
plut,2.9715401785714284
ltsearthquake-indonesia,15.127685546875
celery-task-manager,33.312174479166664
peerfinder,7.14208984375
werdlchat,28.371256510416668
gpiowrapper,28.72900390625
django-backoffice-dashboard-alpha,10.533935546875
care-impact-analytics-dev,0.54638671875
django-pgcrypto-expressions,6.310546875
robotframework-testfors,50.13916015625
odoo14-addon-ssi-transaction-confirm-mixin,53.74400111607143
jpbizday,3.8297526041666665
pyob,16.911177201704547
physicool,19.31353759765625
slacker2,10.92001953125
resuscitativez,2.73828125
urler,8.464111328125
VNDUtils,3.5283203125
django-language-field,67.92333984375
feastmo,795.97021484375
jsbridge,521.4986853966346
wafflehaus.neutron,5.8546875
winrt-Microsoft.UI.Xaml.Controls.AnimatedVisuals,32.63066681338028
becke-multicenter-integration,185.87255859375
blended,6.849190848214286
quantics,2.95458984375
metovlogs,2.999609375
gawd,14.272786458333334
cdef-analytical,173.65185546875
streamfy,762.69984375
scm-source,4.159830729166667
pyInstallPackage,4.895345052083333
basewordle,10.7412109375
nonebot-plugin-epicfree,6.7549085115131575
tpRigToolkit-config,16.533935546875
cryt,3.16845703125
text-clean,94.47056995738636
yt-playlist-updater,1.98828125
generate-report,34.50439453125
pillow-affine,7.96337890625
PySide,21725.266931668135
fastapi-plus,14.493977864583334
xcom,16.046630859375
dictionary-helpers,6.74951171875
pytcc,452.6447998046875
nrgmodbus,9.67527488425926
mediakit,23.10039605034722
json-key-press,3.85546875
wbx-workspaces,8.49853515625
kafka-logger,2.8271484375
awsdsc,8.84228515625
arcpy-metadata,51.114420572916664
mocy,12.596354166666666
beam-extended-mongodbio,3.8232421875
slidingwindow-generator,7.03330078125
odoo-addon-product-category-product-link,21.4119140625
gfftk,4498.507263183594
kudu-python,331.108251953125
trio-websockets,33.89404296875
grahamscandelaunay,3.18359375
cacheline,7985.117035040876
